HPD pixel#,ASIC #,ASIC channel #,Purpose,,,Legend,,,
1,1,32,L-11,,,,,,
2,1,31,L-15,,,L-n is Low-range number 'n',,,
3,1,30,L-6,,,M-n is Mid-range number 'n',,,
4,1,29,L-9,,,H-N is High-range 'N',,,
5,1,28,L-13,,,Empty is read out but has no fibers,,,
6,1,27,L-17,,,Dead is not read out and has no fibers,,,
7,1,26,L-20,,,LED is read out and has LED input,,,
8,1,25,L-20,,,,,,
9,1,24,L-5,,,,,,
10,1,23,L-8,,,,,,
11,1,22,L-12,,,,,,
12,1,21,L-16,,,,,,
13,1,20,L-19,,,,,,
14,1,19,L-22,,,,,,
15,1,18,L-24,,,,,,
16,1,17,L-1,,,,,,
17,1,16,L-4,,,,,,
18,1,15,L-7,,,,,,
19,1,14,L-10,,,,,,
20,1,13,L-14,,,,,,
21,1,12,L-18,,,,,,
22,1,11,L-21,,,,,,
23,1,10,L-23,,,,,,
24,1,9,L-25,,,,,,
25,1,8,L-3,,,,,,
26,1,7,Empty,,,,,,
27,N/A,N/A,Dead,,,,,,
28,N/A,N/A,Dead,,,,,,
29,N/A,N/A,Dead,,,,,,
30,1,6,Empty,,,,,,
31,1,5,LED,,,,,,
32,1,4,Empty,,,,,,
33,1,3,Empty,,,,,,
34,1,2,LED,,,,,,
35,1,1,Empty,,,,,,
36,2,32,M-7,,,,,,
37,2,31,M-10,,,,,,
38,2,30,M-13,,,,,,
39,2,29,M-16,,,,,,
40,2,28,M-21,,,,,,
41,2,27,M-24,,,,,,
42,2,26,M-2,,,,,,
43,2,25,M-4,,,,,,
44,2,24,M-6,,,,,,
45,2,23,M-9,,,,,,
46,2,22,M-12,,,,,,
47,2,21,M-15,,,,,,
48,2,20,M-19,,,,,,
49,2,19,M-22,,,,,,
50,2,18,M-1,,,,,,
51,2,17,M-3,,,,,,
52,2,16,M-5,,,,,,
53,2,15,M-8,,,,,,
54,2,14,M-11,,,,,,
55,2,13,M-14,,,,,,
56,2,12,M-17,,,,,,
57,2,1,LED,,,,,,
58,2,11,M-25,,,,,,
59,N/A,N/A,Dead,,,,,,
60,N/A,N/A,Dead,,,,,,
61,N/A,N/A,Dead,,,,,,
62,N/A,N/A,Dead,,,,,,
63,N/A,N/A,Dead,,,,,,
64,2,2,Empty,,,,,,
65,2,10,M-20,,,,,,
66,2,9,M-23,,,,,,
67,2,7,H-A,,,,,,
68,2,6,H-B,,,,,,
69,2,5,H-D,,,,,,
70,N/A,N/A,Dead,,,,,,
71,2,8,M-18,,,,,,
72,2,4,H-C,,,,,,
73,2,3,H-E,,,,,,
